;Winner;Turns;Win_rate
0;AI;41;1.0
1;AI;12;1.0
2;Random;17;0.6666666666666666
3;AI;62;0.75
4;AI;13;0.8
5;Random;93;0.6666666666666666
6;AI;41;0.7142857142857143
7;Random;109;0.625
8;Random;174;0.5555555555555556
9;AI;38;0.6
10;Random;18;0.5454545454545454
11;Random;41;0.5
12;AI;13;0.5384615384615384
13;AI;16;0.5714285714285714
14;AI;25;0.6
15;Random;23;0.5625
16;AI;13;0.5882352941176471
17;AI;76;0.6111111111111112
18;AI;15;0.631578947368421
19;Random;47;0.6
20;Random;14;0.5714285714285714
21;AI;76;0.5909090909090909
22;Random;68;0.5652173913043478
23;Random;49;0.5416666666666666
24;AI;89;0.56
25;AI;62;0.5769230769230769
26;AI;19;0.5925925925925926
27;Random;31;0.5714285714285714
28;Random;86;0.5517241379310345
29;Random;27;0.5333333333333333
30;Random;128;0.5161290322580645
31;AI;42;0.53125
32;Random;14;0.5151515151515151
33;AI;14;0.5294117647058824
34;Random;42;0.5142857142857142
35;Random;21;0.5
36;Random;18;0.4864864864864865
37;Random;63;0.47368421052631576
38;Random;20;0.46153846153846156
39;Random;15;0.45
40;AI;35;0.4634146341463415
41;AI;34;0.47619047619047616
42;Random;24;0.46511627906976744
43;Random;27;0.45454545454545453
44;Random;36;0.4444444444444444
45;Random;109;0.43478260869565216
46;AI;33;0.44680851063829785
47;AI;14;0.4583333333333333
48;AI;21;0.46938775510204084
49;AI;54;0.48
50;Random;14;0.47058823529411764
51;Random;83;0.46153846153846156
52;AI;53;0.4716981132075472
53;AI;30;0.48148148148148145
54;Random;28;0.4727272727272727
55;AI;64;0.48214285714285715
56;AI;27;0.49122807017543857
57;Random;45;0.4827586206896552
58;AI;43;0.4915254237288136
59;Random;87;0.48333333333333334
60;AI;33;0.4918032786885246
61;AI;60;0.5
62;AI;13;0.5079365079365079
63;AI;22;0.515625
64;Random;20;0.5076923076923077
65;Random;29;0.5
66;AI;45;0.5074626865671642
67;Random;65;0.5
68;Random;60;0.4927536231884058
69;AI;80;0.5
70;AI;21;0.5070422535211268
71;AI;14;0.5138888888888888
72;Random;12;0.5068493150684932
73;Random;109;0.5
74;Random;96;0.49333333333333335
75;AI;74;0.5
76;Random;132;0.4935064935064935
77;AI;22;0.5
78;Random;32;0.4936708860759494
79;Random;37;0.4875
80;AI;13;0.49382716049382713
81;Random;53;0.4878048780487805
82;AI;9;0.4939759036144578
83;Random;35;0.4880952380952381
84;Random;14;0.4823529411764706
85;Random;43;0.47674418604651164
86;Random;38;0.47126436781609193
87;AI;44;0.4772727272727273
88;Random;22;0.47191011235955055
89;Random;23;0.4666666666666667
90;Random;18;0.46153846153846156
91;Random;29;0.45652173913043476
92;AI;67;0.46236559139784944
93;AI;42;0.46808510638297873
94;AI;13;0.47368421052631576
95;AI;42;0.4791666666666667
96;Random;82;0.4742268041237113
97;Random;27;0.46938775510204084
98;Random;18;0.46464646464646464
99;Random;39;0.46
100;Random;46;0.45544554455445546
101;Random;33;0.45098039215686275
102;Random;16;0.44660194174757284
103;AI;24;0.4519230769230769
104;Random;44;0.44761904761904764
105;AI;54;0.4528301886792453
106;AI;37;0.45794392523364486
107;AI;38;0.46296296296296297
108;AI;17;0.46788990825688076
109;AI;72;0.4727272727272727
110;AI;81;0.4774774774774775
111;Random;43;0.4732142857142857
112;Random;44;0.4690265486725664
113;AI;34;0.47368421052631576
114;Random;24;0.46956521739130436
115;Random;87;0.46551724137931033
116;AI;17;0.4700854700854701
117;Random;49;0.4661016949152542
118;Random;18;0.46218487394957986
119;AI;62;0.4666666666666667
120;AI;21;0.47107438016528924
121;Random;10;0.4672131147540984
122;Random;32;0.4634146341463415
123;AI;46;0.46774193548387094
124;Random;42;0.464
125;AI;50;0.46825396825396826
126;Random;20;0.4645669291338583
127;Random;31;0.4609375
128;Random;62;0.4573643410852713
129;Random;25;0.45384615384615384
130;Random;44;0.45038167938931295
131;AI;86;0.45454545454545453
132;Random;26;0.45112781954887216
133;AI;26;0.4552238805970149
134;AI;53;0.45925925925925926
135;AI;86;0.4632352941176471
136;AI;19;0.46715328467153283
137;AI;20;0.47101449275362317
138;AI;17;0.4748201438848921
139;AI;128;0.4785714285714286
140;Random;24;0.475177304964539
141;Random;71;0.47183098591549294
142;Random;18;0.46853146853146854
143;Random;81;0.4652777777777778
144;AI;29;0.4689655172413793
145;AI;74;0.4726027397260274
146;Random;48;0.46938775510204084
147;AI;48;0.47297297297297297
148;Random;34;0.4697986577181208
149;AI;30;0.47333333333333333
150;Random;14;0.47019867549668876
151;Random;123;0.46710526315789475
152;AI;43;0.47058823529411764
153;AI;24;0.474025974025974
154;AI;21;0.4774193548387097
155;Random;39;0.47435897435897434
156;Random;92;0.4713375796178344
157;AI;30;0.47468354430379744
158;Random;18;0.4716981132075472
159;AI;50;0.475
160;Random;26;0.4720496894409938
161;Random;53;0.4691358024691358
162;Random;62;0.4662576687116564
163;AI;16;0.4695121951219512
164;AI;29;0.4727272727272727
165;Random;13;0.46987951807228917
166;AI;37;0.47305389221556887
167;Random;79;0.47023809523809523
168;Random;22;0.46745562130177515
169;Random;209;0.4647058823529412
170;Random;24;0.4619883040935672
171;AI;40;0.46511627906976744
172;Random;56;0.4624277456647399
173;AI;38;0.46551724137931033
174;Random;24;0.46285714285714286
175;Random;29;0.4602272727272727
176;AI;67;0.4632768361581921
177;AI;40;0.46629213483146065
178;Random;32;0.46368715083798884
179;Random;21;0.46111111111111114
180;Random;104;0.4585635359116022
181;AI;26;0.46153846153846156
182;AI;25;0.4644808743169399
183;Random;13;0.46195652173913043
184;Random;26;0.4594594594594595
185;Random;15;0.45698924731182794
186;AI;49;0.45989304812834225
187;AI;46;0.4627659574468085
188;AI;17;0.4656084656084656
189;Random;31;0.4631578947368421
190;AI;33;0.46596858638743455
191;AI;16;0.46875
192;AI;27;0.47150259067357514
193;AI;24;0.4742268041237113
194;AI;69;0.47692307692307695
195;AI;50;0.47959183673469385
196;AI;33;0.48223350253807107
197;AI;20;0.48484848484848486
198;Random;30;0.4824120603015075
199;Random;45;0.48
200;Random;84;0.47761194029850745
201;AI;24;0.4801980198019802
202;AI;63;0.4827586206896552
203;Random;31;0.4803921568627451
204;AI;89;0.48292682926829267
205;AI;50;0.4854368932038835
206;AI;19;0.48792270531400966
207;AI;18;0.49038461538461536
208;Random;26;0.4880382775119617
209;AI;24;0.49047619047619045
210;AI;11;0.4928909952606635
211;Random;39;0.49056603773584906
212;Random;38;0.48826291079812206
213;AI;54;0.49065420560747663
214;Random;30;0.4883720930232558
215;Random;17;0.4861111111111111
216;Random;28;0.4838709677419355
217;Random;35;0.481651376146789
218;AI;93;0.4840182648401826
219;Random;13;0.4818181818181818
220;Random;42;0.4796380090497738
221;AI;34;0.481981981981982
222;AI;25;0.484304932735426
223;AI;20;0.48660714285714285
224;Random;22;0.48444444444444446
225;AI;84;0.48672566371681414
226;Random;26;0.4845814977973568
227;AI;12;0.4868421052631579
228;Random;10;0.4847161572052402
229;Random;53;0.4826086956521739
230;Random;32;0.4805194805194805
231;Random;35;0.47844827586206895
232;AI;35;0.48068669527896996
233;Random;89;0.47863247863247865
234;AI;19;0.4808510638297872
235;AI;32;0.4830508474576271
236;AI;11;0.48523206751054854
237;Random;43;0.4831932773109244
238;Random;14;0.4811715481171548
239;Random;21;0.4791666666666667
240;AI;29;0.48132780082987553
241;Random;39;0.4793388429752066
242;Random;48;0.4773662551440329
243;AI;18;0.47950819672131145
244;AI;79;0.4816326530612245
245;AI;14;0.483739837398374
246;Random;56;0.4817813765182186
247;AI;30;0.4838709677419355
248;Random;22;0.4819277108433735
249;Random;77;0.48
250;AI;59;0.4820717131474104
251;AI;18;0.48412698412698413
252;AI;15;0.48616600790513836
253;Random;29;0.484251968503937
254;Random;14;0.4823529411764706
255;Random;35;0.48046875
256;AI;31;0.48249027237354086
257;Random;161;0.4806201550387597
258;AI;65;0.4826254826254826
259;Random;17;0.4807692307692308
260;AI;39;0.4827586206896552
261;AI;24;0.4847328244274809
262;AI;73;0.4866920152091255
