;0
0;1
1;1
2;1
3;1
4;1
5;1
6;2
7;2
8;3
9;4
10;5
11;6
12;6
13;7
14;7
15;8
16;9
17;9
18;10
19;11
20;12
21;13
22;13
23;14
24;15
25;15
26;16
27;17
28;18
29;18
30;18
31;18
32;18
33;18
34;20
35;20
36;20
37;20
38;20
39;21
40;21
41;21
42;21
43;22
44;23
45;23
46;24
47;26
48;26
49;26
50;26
51;30
52;32
53;32
54;32
55;32
56;33
57;33
58;34
59;34
60;34
61;36
62;37
63;38
64;39
65;41
66;43
67;43
68;43
69;43
70;45
71;47
72;47
73;48
74;48
75;48
76;48
77;48
78;48
79;49
80;50
81;50
82;50
83;51
84;52
85;53
86;54
87;55
88;56
89;57
90;59
91;60
92;60
93;60
94;61
95;62
96;64
97;65
98;68
99;69
100;70
101;71
102;72
103;75
104;76
105;76
106;78
107;79
108;80
109;81
110;84
111;86
112;87
113;87
114;87
115;87
116;88
117;91
118;92
119;92
120;94
121;95
122;96
123;96
124;97
125;98
126;99
127;99
128;100
129;101
130;103
131;104
132;108
133;110
134;112
135;112
136;114
137;115
138;120
139;121
140;123
141;124
142;125
143;125
144;126
145;128
146;131
147;131
148;132
149;135
150;135
151;135
152;136
153;136
154;138
155;138
156;138
157;139
158;142
159;143
160;143
161;144
162;148
163;149
164;150
165;151
166;151
167;152
168;153
169;154
170;155
171;157
172;159
173;159
174;159
175;162
176;165
177;166
178;167
179;168
180;168
181;168
182;169
183;171
184;172
185;172
186;173
187;176
188;177
189;178
190;181
191;182
192;186
193;186
194;189
195;190
196;190
197;193
198;198
199;200
200;201
201;203
202;204
203;206
204;208
205;210
206;212
207;213
208;215
209;216
210;219
211;219
212;223
213;225
214;227
215;228
216;228
217;229
218;229
219;233
220;235
221;238
222;238
223;241
224;242
225;245
226;246
227;247
228;249
229;250
230;250
231;251
232;253
233;254
234;256
235;256
236;258
237;262
238;263
239;263
240;264
241;266
242;268
243;269
244;270
245;272
246;273
247;275
248;278
249;279
250;280
251;280
252;280
253;284
254;286
255;288
256;290
257;291
258;291
259;291
260;292
261;296
262;298
263;300
264;301
265;302
266;303
267;308
268;312
269;313
270;317
271;321
272;324
273;325
274;327
275;328
276;330
277;332
278;334
279;335
280;336
281;340
282;340
283;344
284;344
285;344
286;347
287;347
288;348
289;354
290;357
291;357
292;357
293;361
294;362
295;363
296;363
297;364
298;366
299;367
300;370
301;371
302;373
303;376
304;378
305;380
306;382
307;382
308;387
309;388
310;388
311;390
312;391
313;393
314;393
315;395
316;396
317;397
318;399
319;400
320;401
321;403
322;403
323;403
324;405
325;407
326;409
327;410
328;411
329;414
330;415
331;416
332;417
333;418
334;421
335;422
336;423
337;424
338;426
339;428
340;433
341;434
342;435
343;438
344;439
345;441
346;444
347;446
348;447
349;452
350;453
351;457
352;459
353;460
354;460
355;461
356;461
357;466
358;467
359;468
360;470
361;471
362;473
363;474
364;477
365;478
366;480
367;482
368;482
369;487
370;491
371;492
372;497
373;498
374;500
375;504
376;505
377;507
378;513
379;515
380;516
381;519
382;521
383;524
384;526
385;528
386;529
387;533
388;534
389;536
390;538
391;539
392;539
393;542
394;545
395;548
396;553
397;555
398;558
399;559
400;560
401;562
402;563
403;567
404;568
405;569
406;572
407;573
408;574
409;576
410;579
411;585
412;587
413;589
414;592
415;593
416;595
417;595
418;602
419;606
420;610
421;611
422;611
423;613
424;613
425;613
426;614
427;618
428;621
429;622
430;626
431;627
432;627
433;628
434;630
435;630
436;637
437;638
438;641
439;642
440;646
441;647
442;650
443;652
444;654
445;654
446;654
447;655
448;656
449;658
450;659
451;661
452;666
453;667
454;668
455;670
456;672
457;676
458;681
459;682
460;683
461;687
462;687
463;688
464;690
465;690
466;690
467;692
468;695
469;696
470;698
471;701
472;703
473;709
474;716
475;718
476;720
477;724
478;729
479;731
480;732
481;734
482;734
483;735
484;736
485;736
486;739
487;742
488;743
489;746
490;750
491;751
492;754
493;754
494;756
495;756
496;756
497;759
498;769
499;770
500;772
501;774
502;778
503;779
504;780
505;780
506;781
507;785
508;785
509;788
510;792
511;796
512;797
513;798
514;801
515;802
516;807
517;809
518;810
519;813
520;816
521;817
522;819
523;821
524;823
525;823
526;823
527;824
528;827
529;828
530;829
531;830
532;832
533;833
534;835
535;837
536;839
537;843
538;846
539;847
540;852
541;855
542;858
543;859
544;860
545;865
546;867
547;868
548;872
549;874
550;877
551;877
552;877
553;879
554;881
555;882
556;886
557;888
558;890
559;891
560;892
561;893
562;894
563;896
564;897
565;900
566;902
567;903
568;905
569;908
570;910
571;911
572;915
573;919
574;920
575;923
576;924
577;925
578;925
579;927
580;929
581;932
582;935
583;937
584;937
585;937
586;939
587;940
588;943
589;945
590;948
591;955
592;956
593;958
594;960
595;962
596;963
597;964
598;970
599;975
600;982
601;983
602;984
603;985
604;988
605;994
606;998
607;1001
608;1002
609;1010
610;1010
611;1015
612;1018
613;1018
614;1019
615;1020
616;1023
617;1025
618;1027
619;1031
620;1032
621;1033
622;1037
623;1038
624;1038
625;1041
626;1042
627;1043
628;1047
629;1050
630;1051
631;1054
632;1054
633;1057
634;1059
635;1060
636;1062
637;1063
638;1064
639;1065
640;1069
641;1071
642;1072
643;1074
644;1076
645;1078
646;1080
647;1081
648;1084
649;1088
650;1091
651;1094
652;1096
653;1097
654;1101
655;1101
656;1105
657;1107
658;1109
659;1110
660;1115
661;1118
662;1122
663;1123
664;1124
665;1125
666;1127
667;1127
668;1129
669;1131
670;1132
671;1133
672;1134
673;1136
674;1139
675;1143
676;1145
677;1147
678;1150
679;1152
680;1153
681;1155
682;1156
683;1158
684;1161
685;1163
686;1167
687;1168
688;1171
689;1172
690;1174
691;1178
692;1180
693;1183
694;1184
695;1186
696;1189
697;1191
698;1200
699;1201
700;1207
701;1209
702;1210
703;1215
704;1223
705;1224
706;1226
707;1227
708;1228
709;1230
710;1234
711;1235
712;1236
713;1240
714;1242
715;1244
716;1250
717;1252
718;1254
719;1254
720;1257
721;1261
722;1263
723;1271
724;1274
725;1275
726;1277
727;1280
728;1283
729;1284
730;1289
731;1291
732;1293
733;1301
734;1305
735;1306
736;1308
737;1308
738;1308
739;1312
740;1314
741;1316
742;1322
743;1324
744;1327
745;1328
746;1330
747;1332
748;1336
749;1342
750;1344
751;1346
752;1348
753;1348
754;1350
755;1352
756;1356
757;1357
758;1360
759;1362
760;1364
761;1366
762;1367
763;1369
764;1373
765;1375
766;1383
767;1387
768;1388
769;1390
770;1391
771;1394
