;Winner;Turns;Win_rate
0;AI;23;1.0
1;Random;37;0.5
2;Random;52;0.3333333333333333
3;Random;19;0.25
4;Random;38;0.2
5;Random;57;0.16666666666666666
6;AI;13;0.2857142857142857
7;Random;75;0.25
8;AI;35;0.3333333333333333
9;AI;54;0.4
10;AI;25;0.45454545454545453
11;AI;22;0.5
12;Random;14;0.46153846153846156
13;AI;36;0.5
14;Random;34;0.4666666666666667
15;AI;62;0.5
16;AI;21;0.5294117647058824
17;Random;35;0.5
18;AI;23;0.5263157894736842
19;AI;56;0.55
20;AI;89;0.5714285714285714
21;AI;14;0.5909090909090909
22;Random;46;0.5652173913043478
23;AI;32;0.5833333333333334
24;AI;51;0.6
25;Random;23;0.5769230769230769
26;AI;31;0.5925925925925926
27;Random;61;0.5714285714285714
28;AI;75;0.5862068965517241
29;Random;17;0.5666666666666667
30;Random;12;0.5483870967741935
31;Random;105;0.53125
32;Random;70;0.5151515151515151
33;Random;17;0.5
34;AI;49;0.5142857142857142
35;Random;49;0.5
36;Random;26;0.4864864864864865
37;Random;31;0.47368421052631576
38;Random;52;0.46153846153846156
39;AI;40;0.475
40;Random;8;0.4634146341463415
41;Random;43;0.4523809523809524
42;Random;30;0.4418604651162791
43;AI;12;0.45454545454545453
44;AI;61;0.4666666666666667
45;Random;15;0.45652173913043476
46;Random;40;0.44680851063829785
47;AI;30;0.4583333333333333
48;Random;82;0.4489795918367347
49;Random;45;0.44
50;Random;28;0.43137254901960786
51;AI;152;0.4423076923076923
52;Random;40;0.4339622641509434
53;Random;31;0.42592592592592593
54;Random;24;0.41818181818181815
55;Random;21;0.4107142857142857
56;AI;39;0.42105263157894735
57;Random;13;0.41379310344827586
58;AI;29;0.423728813559322
59;Random;71;0.4166666666666667
60;Random;22;0.4098360655737705
61;AI;36;0.41935483870967744
62;AI;31;0.42857142857142855
63;AI;16;0.4375
64;AI;19;0.4461538461538462
65;AI;58;0.45454545454545453
66;AI;57;0.4626865671641791
67;Random;37;0.45588235294117646
68;Random;34;0.4492753623188406
69;Random;13;0.44285714285714284
70;AI;35;0.4507042253521127
71;AI;40;0.4583333333333333
72;Random;54;0.4520547945205479
73;AI;34;0.4594594594594595
74;Random;36;0.4533333333333333
75;Random;23;0.4473684210526316
76;Random;16;0.44155844155844154
77;Random;31;0.4358974358974359
78;Random;34;0.43037974683544306
79;AI;20;0.4375
80;AI;19;0.4444444444444444
81;Random;17;0.43902439024390244
82;Random;14;0.43373493975903615
83;AI;68;0.44047619047619047
84;AI;29;0.4470588235294118
85;Random;87;0.4418604651162791
86;AI;51;0.4482758620689655
87;AI;14;0.45454545454545453
88;AI;17;0.4606741573033708
89;AI;112;0.4666666666666667
90;AI;31;0.4725274725274725
91;Random;65;0.4673913043478261
92;Random;78;0.46236559139784944
93;Random;33;0.4574468085106383
94;AI;13;0.4631578947368421
95;AI;28;0.46875
96;AI;29;0.4742268041237113
97;AI;22;0.47959183673469385
98;AI;59;0.48484848484848486
99;Random;29;0.48
100;AI;23;0.48514851485148514
101;Random;21;0.4803921568627451
102;AI;105;0.4854368932038835
103;Random;177;0.4807692307692308
104;Random;32;0.47619047619047616
105;Random;65;0.4716981132075472
106;AI;81;0.4766355140186916
107;AI;16;0.48148148148148145
108;Random;18;0.47706422018348627
109;AI;26;0.4818181818181818
110;AI;65;0.4864864864864865
111;AI;82;0.49107142857142855
112;AI;19;0.49557522123893805
113;Random;25;0.49122807017543857
114;Random;16;0.48695652173913045
115;Random;21;0.4827586206896552
116;AI;37;0.48717948717948717
117;AI;56;0.4915254237288136
118;AI;15;0.4957983193277311
119;Random;31;0.49166666666666664
120;AI;93;0.49586776859504134
121;AI;20;0.5
122;AI;13;0.5040650406504065
123;Random;11;0.5
124;AI;11;0.504
125;AI;50;0.5079365079365079
126;AI;19;0.5118110236220472
127;Random;19;0.5078125
128;AI;29;0.5116279069767442
129;Random;25;0.5076923076923077
130;AI;73;0.5114503816793893
131;AI;38;0.5151515151515151
132;AI;83;0.518796992481203
133;AI;62;0.5223880597014925
134;AI;27;0.5259259259259259
135;Random;37;0.5220588235294118
136;AI;43;0.5255474452554745
137;AI;22;0.5289855072463768
138;AI;73;0.5323741007194245
139;AI;20;0.5357142857142857
140;AI;41;0.5390070921985816
141;AI;22;0.5422535211267606
142;Random;34;0.5384615384615384
143;Random;27;0.5347222222222222
144;Random;32;0.5310344827586206
145;AI;38;0.5342465753424658
146;AI;25;0.5374149659863946
147;Random;55;0.5337837837837838
148;Random;22;0.5302013422818792
149;AI;32;0.5333333333333333
150;Random;24;0.5298013245033113
151;Random;25;0.5263157894736842
152;Random;26;0.5228758169934641
153;Random;33;0.5194805194805194
154;Random;32;0.5161290322580645
155;Random;57;0.5128205128205128
156;Random;34;0.5095541401273885
157;Random;19;0.5063291139240507
158;Random;70;0.5031446540880503
159;Random;13;0.5
160;Random;16;0.4968944099378882
161;Random;7;0.49382716049382713
162;AI;63;0.49693251533742333
163;AI;46;0.5
164;AI;25;0.503030303030303
165;AI;38;0.5060240963855421
166;Random;46;0.5029940119760479
167;Random;23;0.5
168;AI;43;0.5029585798816568
169;AI;40;0.5058823529411764
170;Random;28;0.5029239766081871
171;Random;61;0.5
172;AI;87;0.5028901734104047
173;Random;19;0.5
174;Random;52;0.49714285714285716
175;AI;36;0.5
176;AI;27;0.5028248587570622
177;AI;48;0.5056179775280899
178;AI;19;0.5083798882681564
179;Random;43;0.5055555555555555
180;Random;14;0.5027624309392266
181;Random;37;0.5
182;AI;35;0.5027322404371585
183;AI;46;0.5054347826086957
184;AI;13;0.5081081081081081
185;Random;25;0.5053763440860215
186;AI;31;0.5080213903743316
187;Random;33;0.5053191489361702
188;AI;11;0.5079365079365079
189;Random;35;0.5052631578947369
190;Random;106;0.5026178010471204
191;AI;12;0.5052083333333334
192;Random;66;0.5025906735751295
193;Random;21;0.5
194;Random;46;0.49743589743589745
195;AI;14;0.5
196;Random;62;0.49746192893401014
197;AI;74;0.5
198;AI;123;0.5025125628140703
199;AI;78;0.505
200;Random;26;0.5024875621890548
201;Random;67;0.5
202;Random;22;0.4975369458128079
203;AI;38;0.5
204;Random;126;0.4975609756097561
205;Random;25;0.49514563106796117
206;AI;63;0.4975845410628019
207;AI;18;0.5
208;AI;79;0.5023923444976076
209;Random;27;0.5
210;AI;57;0.5023696682464455
211;Random;27;0.5
212;AI;105;0.5023474178403756
213;Random;63;0.5
214;AI;19;0.5023255813953489
215;AI;22;0.5046296296296297
216;Random;20;0.5023041474654378
217;Random;45;0.5
218;Random;38;0.4977168949771689
219;AI;90;0.5
220;Random;66;0.497737556561086
221;Random;25;0.4954954954954955
222;Random;58;0.49327354260089684
223;AI;84;0.4955357142857143
224;AI;9;0.49777777777777776
225;AI;52;0.5
226;Random;18;0.4977973568281938
227;AI;20;0.5
228;AI;17;0.5021834061135371
229;Random;41;0.5
230;Random;20;0.49783549783549785
231;AI;24;0.5
232;AI;33;0.5021459227467812
233;Random;23;0.5
234;AI;15;0.502127659574468
235;Random;19;0.5
236;AI;15;0.5021097046413502
237;Random;81;0.5
238;AI;11;0.502092050209205
239;Random;13;0.5
240;Random;48;0.4979253112033195
241;AI;36;0.5
242;AI;15;0.5020576131687243
243;AI;20;0.5040983606557377
244;Random;18;0.5020408163265306
245;AI;40;0.5040650406504065
246;Random;26;0.5020242914979757
247;AI;20;0.5040322580645161
248;AI;33;0.5060240963855421
249;AI;24;0.508
250;Random;22;0.5059760956175299
251;Random;9;0.503968253968254
252;Random;18;0.5019762845849802
253;Random;43;0.5
254;AI;21;0.5019607843137255
255;Random;71;0.5
256;AI;21;0.5019455252918288
257;AI;50;0.5038759689922481
258;Random;24;0.5019305019305019
259;Random;15;0.5
260;Random;36;0.49808429118773945
261;AI;72;0.5
262;AI;93;0.5019011406844106
263;AI;24;0.5037878787878788
264;Random;24;0.5018867924528302
265;Random;13;0.5
266;AI;45;0.50187265917603
267;Random;57;0.5
268;AI;41;0.5018587360594795
269;Random;25;0.5
270;AI;41;0.5018450184501845
271;AI;152;0.5036764705882353
272;AI;31;0.5054945054945055
273;AI;46;0.5072992700729927
274;Random;18;0.5054545454545455
275;Random;26;0.5036231884057971
276;Random;24;0.5018050541516246
277;AI;22;0.5035971223021583
278;AI;19;0.5053763440860215
279;AI;32;0.5071428571428571
280;AI;25;0.5088967971530249
281;AI;98;0.5106382978723404
282;Random;24;0.508833922261484
283;AI;80;0.5105633802816901
284;Random;22;0.5087719298245614
285;Random;53;0.506993006993007
286;AI;75;0.5087108013937283
287;Random;23;0.5069444444444444
288;Random;18;0.5051903114186851
289;AI;94;0.506896551724138
290;AI;47;0.5085910652920962
291;Random;25;0.5068493150684932
292;Random;22;0.5051194539249146
